model,budget,n,compile_rate,truncation_rate,pass@1,pass@3,pass@5,string_similarity,codebleu
CodeGen-350M,256,1050,0.06857142857142857,0.3304761904761905,0.06857142857142856,0.1280952380952381,0.16666666666666666,0.4942419930042532,0.43214144118921816
CodeGen-350M,512,1050,0.07428571428571429,0.15619047619047619,0.07428571428571425,0.13476190476190478,0.17142857142857143,0.5229222465773273,0.49306531299714185
DeepSeek-1.3B,256,1050,0.04,0.47333333333333333,0.04,0.045714285714285714,0.047619047619047616,0.6540101775794693,0.5616939181770448
DeepSeek-1.3B,512,1050,0.05333333333333334,0.1761904761904762,0.05333333333333333,0.06523809523809523,0.07142857142857142,0.743518343208227,0.6794665315964828
DeepSeek-6.7B,256,1050,0.039047619047619046,0.47714285714285715,0.039047619047619046,0.05333333333333333,0.06190476190476191,0.6626557258783244,0.573569682394402
DeepSeek-6.7B,512,1050,0.04666666666666667,0.17809523809523808,0.04666666666666667,0.05285714285714285,0.05714285714285714,0.7537340694175662,0.6971171645592413
